HK0001,TRUE,TRUE,香港,堅尼地城,18980000,22000,454,610,"堅尼地城,新海旁28號,高逸華軒,4樓A室",2,1,2014-09-31 16:30
HK0002,TRUE,FALSE,香港,北角,43000000,,429,520,"北角,英皇道,441-447號,漢宮大廈,25樓H室",3,1,2014-10-25 11:30
HK0003,FALSE,TRUE,香港,灣仔,,26000,388,422,"灣仔,太和街,8號,泰和大廈,15樓01室",2,1,2014-11-06 09:30
KW0001,TRUE,TRUE,九龍,荔枝角,18980000,20000,1111,1148,"荔枝角,寶輪街,1號,曼克頓山,28樓B室",3,1,2014-10-20 10:30
KW0002,TRUE,FALSE,九龍,紅磡,43000000,,1725,2156,"紅磡,環海街,11號,海名軒,20樓B室",4,2,2014-08-20 15:30
KW0003,FALSE,TRUE,九龍,何文田,,38000,1180,1475,"何文田,牧愛街,38號,雅利德樺臺,33樓A室",3,2,2014-07-15 09:20
NT0001,TRUE,TRUE,新界,沙田,8680000,37000,855,1190,"沙田,安景街,19-21號,碧濤花園,16樓C室",2,1,2014-11-01 10:45
NT0002,TRUE,FALSE,新界,青衣,3850000,,368,482,"青衣,楓樹窩路,1號,翠怡花園,5樓05室",2,1,2014-11-05 11:26
NT0003,FALSE,TRUE,新界,屯門,,16000,467,564,"屯門,兆康路,2-22號,兆康苑,11樓02室",2,1,2014-10-14 12:13
OI0001,TRUE,TRUE,離島,愉景灣,5250000,12000,708,814,"愉景灣,蘅欣徑,蘅峰,4樓",2,1,2014-09-14 16:49
OI0002,TRUE,FALSE,離島,東涌,7800000,,740,980,"東涌海濱路12號藍天海岸-水藍.天岸,17樓02室",3,1,2014-09-22 17:14
OI0003,FALSE,TRUE,離島,東涌,,20000,777,1000,"東涌海濱路12號藍天海岸 - 影岸.紅,8樓02室",3,1,2014-11-25 18:40
NT0004,TRUE,FALSE,新界,將軍澳,17000000,25000,1200,1400,"將軍澳將軍澳中心一座15樓A室",3,2,2014-12-31 23:59